Lake,Year,Carp (lbs/acre/yr),Buffalo (lbs per acre per year,Total Removed (h),Proportion of Carp,Proportion of Buffalo,Delta TSI (Chla),Delta Chla,Delta TSS,Delta TN,Delta TP,Delta SD,Delta DO,Delta Turbidity,Delta Phytoplankton Total Biomass,Delta Zooplankton Total Biomass,Delta Chlorophyta,Delta Cyanophyta
Center Lake,2001,0,0,0,,,5.424935384,-1.333333333,7.666666667,-0.206666667,-113.3333333,-1.4,-1.033333333,-9.666666667,15.13202333,-242.153921,0.117816667,15.06982
Center Lake,2002,0,0,0,,,-16.79194143,20.9,-5.333333333,0.056666667,23.33333333,1.45,0.9,13.66666667,-223.7392033,-112.569041,-0.482833333,-221.7708133
Center Lake,2003,0,0,0,,,6.964651672,16.53333333,0,-0.06,18.66666667,-1.45,-1.6,-3,211.03969,148.8326983,0.478033333,208.87787
Center Lake,2004,0,0,0,,,-3.696504652,-8.7,4.666666667,-0.113333333,-41,0.65,-0.033333333,-144.3333333,9.865766667,-284.0050843,-0.647296667,10.4752
Center Lake,2005,0,0,0,,,-3.349558276,-53.56666667,-4.333333333,-0.07,-12.66666667,-0.316666667,1.533333333,-1,-11.89080333,391.4926113,0.0264,-11.46033
Center Lake,2006,0,0,0,,,-12.56746229,8.433333333,-5,0.476666667,18.66666667,0.916666667,-1.733333333,131.3333333,-14.6634,-9.038335667,0.62642,-15.79132333
Center Lake,2007,0,0,0,,,-1.038839269,5.4,6.666666667,-0.113333333,16.66666667,0.01,2.466666667,17.33333333,-51.72256,-43.98635033,-0.836486667,-50.69136
Center Lake,2008,0,0,0,,,,60.93333333,9.666666667,-2.153333333,89.66666667,0.99,8.666666667,9.333333333,90.97434333,185.112978,0.836486667,89.94314333
Center Lake,2009,0,0,0,,,31.2648732,-6.666666667,-7.5,1.72,-60.93333333,-1.466666667,-9.633333333,-6.966666667,-78.10341,-124.278853,-1.003026667,-69.34273333
Center Lake,2010,145.9090909,32.04545455,177.9545455,0.819923372,0.180076628,-1.512218169,-8,2.033333333,-0.136666667,-62.6,0.266666667,4.166666667,-5.3,50.1705412,-217.7920461,0.985359416,41.70470393
