Lake,Year,Delta.TSI..Chla.,Delta.Chla,Delta.TSS,Delta.TN,Delta.TP,Delta.SD,Delta.Turbidity,Delta.Phytoplankton.Total.Biomass,Delta.Zooplankton.Total.Biomass,Delta.Chlorophyta,Delta.Cyanophyta
Center Lake,2001,5.424935384,1.333333333,-7.666666667,-0.206666667,0,1.4,-15.13202333,225.3111433,-0.35345,-10.27862667,15.06982
Center Lake,2002,-16.79194143,-20.9,5.333333333,0.056666667,-23.33333333,-1.45,223.7392033,112.569041,0.723165,216.97962,-221.7708133
Center Lake,2003,6.964651672,-16.53333333,0,-0.06,-18.66666667,1.45,-211.03969,-148.8326983,-0.71705,-208.87787,208.87787
Center Lake,2004,-3.696504652,8.7,-4.666666667,-0.113333333,41,-0.65,-9.865766667,284.0050843,1.950175,-10.4752,10.4752
Center Lake,2005,-3.349558276,53.56666667,4.333333333,-0.07,12.66666667,0.316666667,11.89080333,-391.4926113,-1.33204,11.46033,-11.46033
Center Lake,2006,-12.56746229,-8.433333333,5,0.476666667,-18.66666667,-0.916666667,14.6634,9.038335667,0,15.79132333,-15.79132333
Center Lake,2007,-1.038839269,-5.4,-6.666666667,-0.113333333,-16.66666667,-0.01,51.72256,43.98635033,0,50.69136,-50.69136
Center Lake,2010,-1.512218169,8,-2.033333333,-0.136666667,62.6,-0.266666667,-50.1705412,217.7920461,-1.478039125,-41.70470393,41.70470393
Center Lake,2011,-5.287555672,21.33333333,3.2,-0.536666667,-19.16666667,0.1,4.254317935,0.446956697,1.163597061,3.439268131,-3.439268131
Center Lake,2012,-0.785218962,13.33333333,5.366666667,0.856666667,3.4,-0.566666667,2.814929247,-249.1245402,-0.975717405,3.527828177,-3.527828177
Center Lake,2013,18.36237936,-14.66666667,-2.366666667,0.093333333,-9.5,1.033333333,62.32628163,174.3719398,1.169624302,59.86127379,-59.86127379
Center Lake,2014,-31.37898328,23.83333333,-1.366666667,-0.17,-16.26666667,-0.933333333,-53.93009532,-78.25709883,1.880687114,-80.15845115,80.15845115
Center Lake,2015,13.63967044,-28.36666667,0.433333333,-0.103333333,-17.63333333,0.466666667,8.083146468,-65.15285004,-2.273664219,31.31415397,-31.31415397
Five Island Lake,2001,0,-5.883333333,-3.666666667,1.076666667,0,0.55,29.60329667,-8.966598667,2.159263333,17.78615667,-17.78615667
Five Island Lake,2002,0.789433785,14.7,9.666666667,-0.873333333,13.66666667,-0.8,77.62942,122.013009,-2.815683333,47.62263333,-47.62263333
Five Island Lake,2003,-6.744815714,-1.233333333,-1.666666667,1.07,-21.33333333,-0.056666667,-78.08859,12.22146433,0.14149,-35.11865,35.11865
Five Island Lake,2004,1.076545751,14.53333333,-1,1.456666667,7,0.173333333,178.4796633,499.496776,-0.420601667,181.0589833,-181.0589833
