Lake,Year,Treatment,Delta.Chla,Delta.TSS,Delta.TN,Delta.TP,Delta.SD,Delta.Turbidity,Delta.Phytoplankton.Total.Biomass,Delta.Zooplankton.Total.Biomass,Delta.Chlorophyta,Delta.Cyanophyta
Center Lake,2002,Not Harvested,-20.9,5.333333333,0.056666667,-23.33333333,-1.45,223.7392033,112.569041,0.723165,216.97962,-221.7708133
Center Lake,2004,Not Harvested,8.7,-4.666666667,-0.113333333,41,-0.65,-9.865766667,284.0050843,1.950175,-10.4752,10.4752
Center Lake,2005,Not Harvested,53.56666667,4.333333333,-0.07,12.66666667,0.316666667,11.89080333,-391.4926113,-1.33204,11.46033,-11.46033
Center Lake,2010,H/L,8,-2.033333333,-0.136666667,62.6,-0.266666667,-50.1705412,217.7920461,-1.478039125,-41.70470393,41.70470393
Center Lake,2011,H/H,21.33333333,3.2,-0.536666667,-19.16666667,0.1,4.254317935,0.446956697,1.163597061,3.439268131,-3.439268131
Center Lake,2012,H/L,13.33333333,5.366666667,0.856666667,3.4,-0.566666667,2.814929247,-249.1245402,-0.975717405,3.527828177,-3.527828177
Center Lake,2013,H/H,-14.66666667,-2.366666667,0.093333333,-9.5,1.033333333,62.32628163,174.3719398,1.169624302,59.86127379,-59.86127379
Center Lake,2014,L/H,23.83333333,-1.366666667,-0.17,-16.26666667,-0.933333333,-53.93009532,-78.25709883,1.880687114,-80.15845115,80.15845115
Center Lake,2015,H/H,-28.36666667,0.433333333,-0.103333333,-17.63333333,0.466666667,8.083146468,-65.15285004,-2.273664219,31.31415397,-31.31415397
Five Island Lake,2002,L/L,14.7,9.666666667,-0.873333333,13.66666667,-0.8,77.62942,122.013009,-2.815683333,47.62263333,-47.62263333
Five Island Lake,2003,L/L,-1.233333333,-1.666666667,1.07,-21.33333333,-0.056666667,-78.08859,12.22146433,0.14149,-35.11865,35.11865
Five Island Lake,2004,L/H,14.53333333,-1,1.456666667,7,0.173333333,178.4796633,499.496776,-0.420601667,181.0589833,-181.0589833
Five Island Lake,2005,L/L,50.2,6.166666667,-0.123333333,20.33333333,-0.116666667,-157.2471,-582.3109867,-0.339335,-166.4170433,166.4170433
Five Island Lake,2006,L/L,-61.56666667,-6.5,-1.693333333,-31.33333333,-0.026666667,61.26074,-39.06911967,-0.419033333,70.49193667,-70.49193667
Five Island Lake,2007,L/L,4,23,0.073333333,56.33333333,-0.123333333,-68.05349333,-2.469683,-0.092026667,-67.96719333,67.96719333
Five Island Lake,2010,L/L,42,1.166666667,2.218333333,-16.3,-0.066666667,327.3745699,31.10328357,0.802275555,330.760612,-330.760612
Five Island Lake,2012,H/L,-40.33333333,1.466666667,-2.116666667,25.63333333,0.033333333,107.0381758,18.82495406,-0.003684808,109.9469428,-109.9469428
Five Island Lake,2013,H/L,-25.33333333,-3.3,1.703333333,-8.133333333,0.233333333,-74.11774739,-73.17943616,-0.063693054,-73.21908616,73.21908616
Five Island Lake,2014,L/L,0.9,-1.666666667,-2.73,1.733333333,-0.1,-42.31746953,22.42769587,0.044884892,-40.70669182,40.70669182
Lost Island Lake,2002,L/L,12.1,7.333333333,-0.47,-8,-1.466666667,224.9807767,-185.2263567,-0.249501667,200.2171833,-200.2171833
Lost Island Lake,2003,L/L,-18.8,-4.333333333,-0.41,-26.66666667,0.116666667,-181.24256,175.7547683,-0.950753333,-157.9861233,157.9861233
Lost Island Lake,2004,L/L,12.3,1,0.29,1.333333333,0.04,199.29417,68.20325767,0.107746667,200.80568,-200.80568
Lost Island Lake,2005,L/L,11.2,-4.666666667,0.176666667,-11.33333333,0.043333333,-157.8009033,-263.4812583,0.12842,-157.6300133,157.6300133
Lost Island Lake,2006,L/L,-5.933333333,10.66666667,0.026666667,14.33333333,0.006666667,599.73642,71.927444,-0.426396667,599.7412133,-599.7412133
