"Lake","Year","Carp Kg/Hectare/Year","Buffalo Kg/Hectare/Year","Total Removed Kg (h)","Proportion.of.Carp","Proportion.of.Buffalo","Delta.TSI..Chla.","Delta.Chla","Delta.TSS","Delta.TN","Delta.TP","Delta.SD","Delta.DO","Delta.Turbidity","Delta.Phytoplankton.Total.Biomass","Delta.Zooplankton.Total.Biomass","Delta.Chlorophyta","Delta.Cyanophyta"
"Center Lake","1999",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Center Lake","2000",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Center Lake","2001",0,0,0,NA,NA,5.424935384,-1.333333333,7.666666667,-0.206666667,-113.3333333,-1.4,-1.033333333,-9.666666667,15.13202333,-242.153921,0.117816667,15.06982
"Center Lake","2002",0,0,0,NA,NA,-16.79194143,20.9,-5.333333333,0.056666667,23.33333333,1.45,0.9,13.66666667,-223.7392033,-112.569041,-0.482833333,-221.7708133
"Center Lake","2003",0,0,0,NA,NA,6.964651672,16.53333333,0,-0.06,18.66666667,-1.45,-1.6,-3,211.03969,148.8326983,0.478033333,208.87787
"Center Lake","2004",0,0,0,NA,NA,-3.696504652,-8.7,4.666666667,-0.113333333,-41,0.65,-0.033333333,-144.3333333,9.865766667,-284.0050843,-0.647296667,10.4752
"Center Lake","2005",0,0,0,NA,NA,-3.349558276,-53.56666667,-4.333333333,-0.07,-12.66666667,-0.316666667,1.533333333,-1,-11.89080333,391.4926113,0.0264,-11.46033
"Center Lake","2006",0,0,0,NA,NA,-12.56746229,8.433333333,-5,0.476666667,18.66666667,0.916666667,-1.733333333,131.3333333,-14.6634,-9.038335667,0.62642,-15.79132333
"Center Lake","2007",0,0,0,NA,NA,-1.038839269,5.4,6.666666667,-0.113333333,16.66666667,0.01,2.466666667,17.33333333,-51.72256,-43.98635033,-0.836486667,-50.69136
"Center Lake","2008",0,0,0,NA,NA,NA,60.93333333,9.666666667,-2.153333333,89.66666667,0.99,8.666666667,9.333333333,90.97434333,185.112978,0.836486667,89.94314333
"Center Lake","2009",0,0,0,NA,NA,31.2648732,-6.666666667,-7.5,1.72,-60.93333333,-1.466666667,-9.633333333,-6.966666667,-78.10341,-124.278853,-1.003026667,-69.34273333
"Center Lake","2010",130.177178837489,28.5903149841638,158.767493821653,0.819923372,0.180076628,-1.512218169,-8,2.033333333,-0.136666667,-62.6,0.266666667,4.166666667,-5.3,50.1705412,-217.7920461,0.985359416,41.70470393
"Center Lake","2011",62.0470665477093,82.3238856849712,144.370952232681,0.429775281,0.570224719,-5.287555672,-21.33333333,-3.2,-0.536666667,19.16666667,-0.1,-6.333333333,0.6,-4.254317935,-0.446956697,-0.775731374,-3.439268131
"Center Lake","2012",86.7847858946335,45.0145384752643,131.799324369898,0.658461538,0.341538462,-0.785218962,-13.33333333,-5.366666667,0.856666667,-3.4,0.566666667,3.733333333,-4.666666667,-2.814929247,249.1245402,0.65047827,-3.527828177
"Center Lake","2013",69.0628459740376,104.425618503814,173.488464477852,0.398083217,0.601916783,18.36237936,14.66666667,2.366666667,0.093333333,9.5,-1.033333333,-1.1,2.633333333,-62.32628163,-174.3719398,-1.241084479,-59.86127379
"Center Lake","2014",35.2816652986573,69.7522578221885,105.033923120846,0.335907336,0.664092664,-31.37898328,-23.83333333,1.366666667,-0.17,16.26666667,0.933333333,-0.2,5.8,53.93009532,78.25709883,-1.880687114,80.15845115
"Center Lake","2015",68.9411850559843,94.8955135834411,163.836698639425,0.420792079,0.579207921,13.63967044,28.36666667,-0.433333333,-0.103333333,17.63333333,-0.466666667,-1.7,-2.333333333,-8.083146468,65.15285004,2.273664219,-31.31415397
"Five Island Lake","1999",2.68394410938127,0.370199187223982,3.05414329660526,0.878787879,0.121212121,NA,14.63333333,-9.266666667,-0.14,64.36666667,0.5,2.7,-4.433333333,38.30851209,74.25700386,-1.058278938,38.95836565
"Five Island Lake","2000",64.3683837355578,63.6650052727841,128.033389008342,0.502746856,0.497253144,NA,-1.866666667,3.666666667,1.076666667,-77.33333333,-0.55,-0.433333333,-20.33333333,-29.60329667,-16.08255267,-2.159263333,-17.78615667
"Five Island Lake","2001",15.7334654681715,77.9732038720614,93.7066693402329,0.167901235,0.832098765,0.789433785,-14.7,-9.666666667,-0.873333333,-13.66666667,0.8,0.5,5,-77.62942,-122.013009,2.815683333,-47.62263333
"Five Island Lake","2002",2.77649390730249,12.2535931123701,15.0300870196726,0.184729064,0.815270936,-6.744815714,1.233333333,1.666666667,1.07,21.33333333,0.056666667,-1.266666667,0.333333333,78.08859,-12.22146433,-0.14149,35.11865
"Five Island Lake","2003",36.6959944595619,21.71403334969,58.4100278092519,0.628248194,0.371751806,1.076545751,-14.53333333,1,1.456666667,-7,-0.173333333,-0.1,-2.666666667,-178.4796633,-499.496776,0.79186,-181.0589833
"Five Island Lake","2004",21.1541070705268,53.7501455324084,74.9042526029353,0.282415301,0.717584699,-2.88347383,-50.2,3.666666667,-0.123333333,-20.33333333,0.116666667,-0.266666667,4,157.2471,582.3109867,-0.031923333,166.4170433
"Five Island Lake","2005",27.6723892670741,6.50162323058393,34.174012497658,0.809749492,0.190250508,-4.440223135,61.56666667,4.333333333,-1.693333333,31.33333333,0.026666667,1,-26.66666667,-61.26074,39.06911967,0.419033333,-70.49193667
"Five Island Lake","2006",21.9343018601954,5.534477854307,27.4687797145024,0.79851752,0.20148248,6.357999851,-4,-30.66666667,0.073333333,-56.33333333,0.123333333,1.5,13.66666667,68.05349333,2.469683,0.092026667,67.96719333
"Five Island Lake","2007",13.4382305036356,14.2526687157068,27.6908992193425,0.485294118,0.514705882,2.971935032,38,46,-2.57,122,0.4,7.433333333,41.33333333,56.75687333,76.06231533,0.26338,54.12056
"Five Island Lake","2008",4.50254761832538,44.0537033144489,48.5562509327742,0.092728486,0.907271514,NA,-20.66666667,-23.06666667,1.205,-95.6,-0.5,-7.333333333,-22.7,-65.72519,-148.553618,-1.139376667,-54.60915
"Five Island Lake","2009",4.74502808582772,76.4017083195789,81.1467364054066,0.058474663,0.941525337,4.168104133,-42,-1.166666667,2.218333333,16.3,0.066666667,-0.766666667,3.5,-327.3745699,-31.10328357,-0.802275555,-330.760612
"Five Island Lake","2010",0.564553760984967,12.1147684168265,12.6793221778115,0.044525547,0.955474453,-6.799773841,-47.33333333,0.5,1.35,-9.733333333,0,-1.766666667,-6.2,318.1555153,-73.29186439,1.565583423,316.8940912
"Five Island Lake","2011",0,0,0,NA,NA,-1.345943002,40.33333333,-1.466666667,-2.116666667,-25.63333333,-0.033333333,3.466666667,-11.73333333,-107.0381758,-18.82495406,0.003684808,-109.9469428
"Five Island Lake","2012",74.9653354775394,25.3586443502699,100.323979827809,0.747232472,0.252767528,-2.822161131,25.33333333,3.3,1.703333333,8.133333333,-0.233333333,-1.733333333,10.76666667,74.11774739,73.17943616,0.063693054,73.21908616
"Five Island Lake","2013",55.1596789400901,24.0629471918633,79.2226261319534,0.696261682,0.303738318,38.76170088,-0.9,1.666666667,-2.73,-1.733333333,0.1,-0.366666667,0.833333333,42.31746953,-22.42769587,-0.044884892,40.70669182
