Lake,Angler,Length of Seine,Date,Modified Year ,Year,Month,Species,Pounds,,
Center Lake,,,2/20/1991,,1991,2,BMB,250,,
Center Lake,,,2/20/1991,,1991,2,CAP,17300,,
Center Lake,,,4/20/1996,,1996,4,BMB,1400,,
Center Lake,,,4/21/1996,,1996,4,BMB,0,,
Center Lake,,,4/20/1996,,1996,4,CAP,1500,,
Center Lake,,,4/21/1996,,1996,4,CAP,0,,
Center Lake,,,10/21/1996,,1996,10,BMB,800,,
Center Lake,,,10/21/1996,,1996,10,CAP,1400,,
Center Lake,,,4/17/1997,,1997,4,BMB,0,,
Center Lake,,,4/29/1997,,1997,4,BMB,0,,
Center Lake,,,4/17/1997,1997,1997,4,CAP,299,,
Center Lake,,,4/29/1997,1997,1997,4,CAP,220,,
Center Lake,,,5/6/1997,1997,1997,5,BMB,400,,
Center Lake,,,5/6/1997,1997,1997,5,CAP,17111,,
Center Lake,,,6/2/1997,1997,1997,6,BMB,478,,
Center Lake,,,6/2/1997,1997,1997,6,CAP,4466,,
Center Lake,,,4/23/1998,1998,1998,4,BMB,1450,,
Center Lake,,,4/24/1998,,1998,4,BMB,0,,
Center Lake,,,4/23/1998,1998,1998,4,CAP,2817,,
Center Lake,,,4/24/1998,,1998,4,CAP,0,,
center lake,,,5/5/1998,,1998,5,BMB,0,,
center lake,,,5/5/1998,1998,1998,5,CAP,2200,,
Center Lake,,,11/14/1998,1999,1998,11,BMB,1100,,
Center Lake,,,11/20/1998,1999,1998,11,BMB,1350,,
Center Lake,,,11/14/1998,1999,1998,11,CAP,3200,,
Center Lake,,,11/20/1998,1999,1998,11,CAP,34200,,
Center Lake,,,2/4/1999,1999,1999,2,BMB,40,,
Center Lake,,,2/4/1999,1999,1999,2,CAP,447,,
Center Lake,,,4/9/1999,1999,1999,4,BMB,30,,
Center Lake,,,4/9/1999,1999,1999,4,CAP,10,,
Center Lake,,,5/22/2001,2001,2001,5,BMB,1000,,
Center Lake,,,5/22/2001,2001,2001,5,CAP,6200,,
center lake,,,5/13/2010,2010,2010,5,BMB,4450,,
center lake,,,5/24/2010,2010,2010,5,BMB,2600,,
center lake,,,5/13/2010,2010,2010,5,CAP,28000,,
center lake,,,5/24/2010,2010,2010,5,CAP,4100,,
center lake,,,5/10/2011,2011,2011,5,BMB,3500,,
Center Lake,,,5/11/2011,2011,2011,5,BMB,16800,,
center lake,,,5/10/2011,2011,2011,5,CAP,10750,,
Center Lake,,,5/11/2011,2011,2011,5,CAP,4550,,
Center Lake,,,4/2/2012,2012,2012,4,BMB,4200,,
Center Lake,,,4/5/2012,2012,2012,4,BMB,6900,,
Center Lake,,,4/2/2012,2012,2012,4,CAP,16800,,
Center Lake,,,4/5/2012,2012,2012,4,CAP,4600,,
Center Lake,,,4/25/2013,2013,2013,4,BMB,24800,,
Center Lake,,,4/25/2013,2013,2013,4,CAP,16750,,
Center Lake,,,5/14/2013,2013,2013,5,BMB,950,,
Center Lake,,,5/14/2013,2013,2013,5,CAP,280,,
Center Lake,,,4/23/2014,2014,2014,4,BMB,4800,,
Center Lake,,,4/24/2014,2014,2014,4,BMB,12400,,
Center Lake,,,4/23/2014,2014,2014,4,CAP,5900,,
Center Lake,,,4/24/2014,2014,2014,4,CAP,2800,,
Center Lake,,,4/14/2015,2015,2015,4,BMB,4200,,
Center Lake,,,4/15/2015,2015,2015,4,BMB,19200,,
Center Lake,,,4/14/2015,2015,2015,4,CAP,5500,,
Center Lake,,,4/15/2015,2015,2015,4,CAP,11500,,
Center Lake,,,5/3/2016,2016,2016,5,BMB,150,,
Center Lake,,,5/18/2016,2016,2016,5,BMB,58700,,
Center Lake,,,5/20/2016,2016,2016,5,BMB,13100,,
Center Lake,,,5/3/2016,2016,2016,5,CAP,350,,
Center Lake,,,5/18/2016,2016,2016,5,CAP,1900,,
Center Lake,,,5/20/2016,2016,2016,5,CAP,450,,
Center Lake,,,6/3/2016,2016,2016,6,BMB,400,,
Center Lake,,,6/3/2016,2016,2016,6,CAP,1100,,
Center Lake,,,4/26/2017,2017,2017,4,BMB,14200,,
Center Lake,,,4/27/2017,2017,2017,4,BMB,6200,,
Center Lake,,,4/26/2017,2017,2017,4,CAP,1300,,
Center Lake,,,4/27/2017,2017,2017,4,CAP,4400,,
Center Lake,,,5/17/2017,2017,2017,5,BMB,10700,,
Center Lake,,,5/17/2017,2017,2017,5,CAP,3700,,
Center Lake,,,1/7/2018,2018,2018,1,BMB,7000,,
Center Lake,,,1/7/2018,2018,2018,1,CAP,1100,,
Center Lake,,,3/19/2018,2018,2018,3,BMB,33400,,
Center Lake,,,3/19/2018,2018,2018,3,CAP,1200,,
Center Lake,,,5/9/2018,2018,2018,5,BMB,2200,,
Center Lake,,,5/9/2018,2018,2018,5,CAP,2043,,
