Round,Lake Name,Sampling Date & Time,Year,Total Alkalinity (mg/L as CaCO3),Chlorophyll a (free of pheophytin) (µg/L),Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L),Involatile (Inorganic) Suspended Solids (mg/L),TN (mg/L),Total Phosphorus as P (µg/L),Soluble Reactive Phosphorus as P (µg/L),NO3+NO2 as N (Cadmium-reduced) (mg/L),Lake Depth at Sampling Site (m),Secchi Transparency at Sampling Site (m),Epilimnetic Average Temperature (°C),Epilimnetic Average pH,Epilimnetic Average Dissolved Oxygen (% Saturation),Epilimnetic Average Dissolved Oxygen (mg/L),Epilimnetic Average Specific Conductivity (uS/cm),Epilimnetic Average Total Dissolved Solids (g/L),Epilimnetic Average Turbidity (NTU),Phytoplankton Total Biomass (mg/L),Zooplankton Total Biomass (µg/L),Chlorophyta,Cyanophyta
1,(019) Center Lake (Dickinson ) ,6/14/2000 11:45,2000,199,11.3,17,5,12,1.47,,,0.29,4.6,0.89,21,8.7,123,10.9,522,,20,7.08245,,0.35562,6.15908
2,(019) Center Lake (Dickinson ) ,7/13/2000 8:30,2000,235,111.8,14,9,5,2.39,,,0.3,5,0.33,26.7,9.1,86,6.9,,,2,31.78276,50.940175,,31.67518
3,(019) Center Lake (Dickinson ) ,8/4/2000 11:00,2000,178,22.7,11,20,4,2.69,,,0.32,4.6,1.33,25.3,9,118,9.7,489,,19,36.12236,50.116491,,36.12236
1,(019) Center Lake (Dickinson ) ,5/16/2001 0:00,2001,77,1.2,3,15,0.5,1.65,92,,0.35,4.8,4.8,19.2,8.5,100,9.3,460,,4,0.79472,183.381363,,
2,(019) Center Lake (Dickinson ) ,6/13/2001 0:00,2001,158,6.5,9,3,5,1.54,126,,0.2,5,1.4,20.4,8.6,79,7.1,461,,20,1.28753,109.373293,0.00217,1.23791
3,(019) Center Lake (Dickinson ) ,7/18/2001 0:00,2001,145,142.1,7,,,2.74,122,,0.21,4.6,0.55,27.8,9.3,181,14.2,765,,46,27.50925,534.763773,,27.50925
1,(019) Center Lake (Dickinson ) ,5/22/2002 0:00,2002,164,4.8,13,25,3,2.19,91,31,0.44,4.6,0.4,20.9,,111,9.9,532,,3,4.23702,255.797519,1.08629,0.55425
2,(019) Center Lake (Dickinson ) ,6/19/2002 0:00,2002,175,36,10,24,3,1.99,71,2.5,0.35,4.6,0.9,21.8,8.4,113,10,862,,12,515.46833,178.532443,0.36438,514.13351
3,(019) Center Lake (Dickinson ) ,7/24/2002 10:10,2002,159,46.3,12,21,4,1.92,108,8,0.26,4.4,1.1,26.1,8.8,98,8,540,,14,181.10376,730.89559,,179.37184
1,(019) Center Lake (Dickinson ) ,5/21/2003 14:45,2003,169,3.1,7,2,6,1.86,78,34,0.32,4.8,2.7,16,8.5,96,9.4,573,,5,0.33873,227.923881,0.01005,0.15379
2,(019) Center Lake (Dickinson ) ,6/18/2003 0:00,2003,117,17.7,10,3,4,1.84,56,2.5,0.34,4.9,3.35,23.8,8.5,139,11.8,533,,3,17.19409,209.554493,0.00652,17.12672
3,(019) Center Lake (Dickinson ) ,7/23/2003 13:00,2003,112,16.7,18,16,6,2.22,80,2.5,0.25,4.7,0.7,24.9,9,139,11.5,550,,30,50.15722,281.249083,,50.14548
1,(019) Center Lake (Dickinson ) ,5/19/2004 9:00,2004,177,5.3,3,42,0.5,2.06,66,10,0.55,4.5,2.5,15.8,8.5,86,8.6,624,,274,7.28817,456.71515,1.95846,5.2458
2,(019) Center Lake (Dickinson ) ,6/15/2004 11:45,2004,173,25.8,12,32,3,1.54,116,15,0.23,4.7,1.15,21.6,9,123,10.9,611,,194,19.66056,206.100751,,19.62579
3,(019) Center Lake (Dickinson ) ,7/20/2004 13:30,2004,189,32.5,6,7,0.5,1.98,155,51,0.15,4.7,1.15,27.4,8.9,169,13.3,581,,3,11.14401,907.926809,,11.1288
1,(019) Center Lake (Dickinson ) ,5/24/2005 12:30,2005,190,11.8,3,11,0.5,1.83,74,33,0.41,5.2,2.7,17.8,8.4,115,11,580,,410,7.58231,294.888374,1.85297,4.81189
2,(019) Center Lake (Dickinson ) ,6/21/2005 11:30,2005,187,36.3,10,4,6,1.49,87,12,0.2,5.2,2.4,23.3,9,126,10.7,582,,7,21.0262,42.543745,0.02304,20.56082
3,(019) Center Lake (Dickinson ) ,7/26/2005 14:00,2005,175,176.2,21,19,10,2.05,214,87,,5,0.65,26.4,9,80,6.5,625,,57,45.15664,58.832757,0.00325,45.00867
1,(019) Center Lake (Dickinson ) ,6/8/2006 15:54,2006,171,25.5,16,20,3,2.26,96,2.5,0.13,4.9,0.95,23.7,9.2,140,11.8,567,,34,40.01007,65.181142,,40.01007
2,(019) Center Lake (Dickinson ) ,6/20/2006 13:50,2006,180,130.7,25,4,7,2.54,119,2.5,0.06,5,0.75,21.9,9.4,164,14.4,584,,38,45.47852,184.867937,,45.47852
3,(019) Center Lake (Dickinson ) ,7/26/2006 10:03,2006,156,42.8,8,4,4,2,104,2.5,0.14,4.7,1.3,26,9.2,88,7.2,606,,8,32.26676,173.330804,,32.26676
1,(019) Center Lake (Dickinson ) ,5/22/2007 13:00,2007,169,2.5,11,2,6,2.09,66,5,0.29,4.6,1.05,19.6,8.1,96,8.8,606,,7,66.60504,109.758695,0.88676,65.21629
2,(019) Center Lake (Dickinson ) ,6/19/2007 10:15,2007,175,145.3,9,7,2,2,87,2.5,0.29,4.8,0.57,23.4,8.2,101,8.6,605,,18,183.52693,56.746783,1.6227,181.90423
3,(019) Center Lake (Dickinson ) ,7/24/2007 11:40,2007,146,35,9,,,2.37,116,12,0.29,4.9,1.35,26.1,8.7,106,8.6,584,,3,22.79106,388.833456,,22.70891
1,(019) Center Lake (Dickinson ) ,6/2/2009 14:08,2009,188,6,7.1,4,2,1.6,38.1,11.6,0.25,4.7,1.6,19.8,8.5,99.7,9.1,630,,3.9,29.84706,108.855148,3.00335,26.55304
2,(019) Center Lake (Dickinson ) ,7/7/2009 10:21,2009,176,11,7.4,4,2,1.54,60.5,4.5,0.25,4.7,1.5,23.9,8.9,135,11.4,660,,11,97.78877,144.680182,0.00573,82.12012
3,(019) Center Lake (Dickinson ) ,8/4/2009 10:57,2009,152,3,8,4,5.3,2.02,84.2,38.3,0.25,4.6,1.3,23.6,8.3,98.9,8.4,590,,6,106.6744,119.301229,,99.35504
